Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
1942,NES,1985.0,Shooter,0.65,0.14,0.21,0.0,,,
¡Shin Chan Flipa en colores!,DS,2007.0,Platform,0.0,0.0,0.14,0.0,,,
.hack: Sekai no Mukou ni + Versus,PS3,2012.0,Action,0.0,0.0,0.03,0.0,,,
.hack//G.U. Vol.1//Rebirth,PS2,2006.0,Role-Playing,0.0,0.0,0.17,0.0,,,
.hack//G.U. Vol.2//Reminisce,PS2,2006.0,Role-Playing,0.11,0.09,0.0,0.03,,,
.hack//G.U. Vol.2//Reminisce (jp sales),PS2,2006.0,Role-Playing,0.0,0.0,0.16,0.0,,,
.hack//G.U. Vol.3//Redemption,PS2,2007.0,Role-Playing,0.0,0.0,0.17,0.0,,,
.hack//Infection Part 1,PS2,2002.0,Role-Playing,0.49,0.38,0.26,0.13,75.0,8.5,T
.hack//Link,PSP,2010.0,Role-Playing,0.0,0.0,0.14,0.0,,,
.hack//Mutation Part 2,PS2,2002.0,Role-Playing,0.23,0.18,0.2,0.06,76.0,8.9,T
.hack//Outbreak Part 3,PS2,2002.0,Role-Playing,0.14,0.11,0.17,0.04,70.0,8.7,T
.hack//Quarantine Part 4: The Final Chapter,PS2,2003.0,Role-Playing,0.09,0.07,0.0,0.02,,,
[Prototype 2],X360,2012.0,Action,0.48,0.24,0.0,0.07,74.0,7,M
[Prototype 2],PC,2012.0,Action,0.07,0.03,0.0,0.01,76.0,6.4,M
[Prototype 2],PS3,2012.0,Action,0.36,0.28,0.0,0.1,79.0,6.8,M
[Prototype],PS3,2009.0,Action,0.65,0.4,0.0,0.19,79.0,7.7,M
[Prototype],X360,2009.0,Action,0.84,0.35,0.0,0.12,78.0,7.8,M
007 Racing,PS,2000.0,Racing,0.3,0.2,0.0,0.03,51.0,4.6,T
007: Quantum of Solace,X360,2008.0,Action,0.82,0.51,0.01,0.14,65.0,7.1,T
007: Quantum of Solace,PC,2008.0,Action,0.01,0.01,0.0,0.0,70.0,6.3,T
007: Quantum of Solace,Wii,2008.0,Action,0.29,0.28,0.01,0.07,54.0,7.5,T
007: Quantum of Solace,PS3,2008.0,Action,0.43,0.51,0.02,0.19,65.0,6.6,T
007: Quantum of Solace,DS,2008.0,Action,0.11,0.01,0.0,0.01,65.0,tbd,T
007: Quantum of Solace,PS2,2008.0,Action,0.17,0.0,0.0,0.26,,,
007: The World is not Enough,PS,2000.0,Action,0.51,0.35,0.0,0.06,61.0,6.7,T
007: The World is not Enough,N64,2000.0,Action,1.13,0.38,0.02,0.03,,,
007: Tomorrow Never Dies,PS,1999.0,Shooter,1.72,1.33,0.0,0.16,,,
1 vs. 100,DS,2008.0,Misc,0.08,0.0,0.0,0.01,38.0,3.2,E
1/2 Summer +,PSP,2013.0,Adventure,0.0,0.0,0.01,0.0,,,
